Subset,N,Init,Final,Imp (%),Time (s)
1,54,3.5541157993146686,3.5514306397066355,0.07555070683264832,2.7197378000128083
2,54,1.0922963183786818,1.0919168553083725,0.034739938597667636,0.07818199999746867
3,54,1.0684034586941875,1.0683918343222603,0.0010880133186260967,0.07691699999850243
4,54,1.082519184417601,1.0823060127941364,0.019692179735295575,0.09197239999775775
5,54,0.7000295998877892,0.7000295998877892,0.0,0.076901699998416
6,54,0.7964994448898376,0.7964812792142564,0.002280689044764993,0.08677729999180883
7,53,1.1642326137638985,1.1640605909961095,0.014775635534973424,0.0848194999853149
8,53,1.4631471277615256,1.4625102062127562,0.04353092978037038,0.07774589999462478
9,53,1.9311959770562577,1.9311959770562577,0.0,0.09588040001108311
10,53,3.1970150012536873,3.1968699787091266,0.004536185926680198,0.10632760002044961
